currency,month,value
Nepalese Rupee,01/2008,63.37190476190478
New Zealand Dollar(1),11/2007,0.7622047619047618
New Zealand Dollar(1),02/2008,0.796765
New Zealand Dollar(1),02/2007,0.6939263157894736
New Zealand Dollar(1),01/2008,0.7708699999999999
Norwegian Krone,11/2007,5.415422727272726
Norwegian Krone,02/2008,5.389485714285714
Norwegian Krone,02/2007,6.186255
Norwegian Krone,01/2008,5.404109523809524
Rial Omani,11/2007,0.3845
Rial Omani,02/2008,0.3845
Rial Omani,02/2007,0.3845
Rial Omani,01/2008,0.3845
Pakistani Rupee,11/2007,60.97937272727274
Pakistani Rupee,02/2008,61.2207
Pakistani Rupee,02/2007,60.782135294117644
Pakistani Rupee,01/2008,61.2207
Nuevo Sol,11/2007,NaN
Nuevo Sol,02/2008,NaN
Nuevo Sol,02/2007,NaN
Nuevo Sol,01/2008,NaN
Philippine Peso,11/2007,NaN
Philippine Peso,02/2008,NaN
Philippine Peso,02/2007,NaN
Philippine Peso,01/2008,NaN
Polish Zloty,11/2007,2.488500000000001
Polish Zloty,02/2008,2.4185833333333333
Polish Zloty,02/2007,2.979795000000001
Polish Zloty,01/2008,2.4551727272727275
Qatar Riyal,11/2007,3.64
Qatar Riyal,02/2008,3.6399999999999997
Qatar Riyal,02/2007,3.6399999999999997
Qatar Riyal,01/2008,3.64
Russian Ruble,11/2007,24.452938095238096
Russian Ruble,02/2008,24.506135000000004
Russian Ruble,02/2007,26.322221052631573
Russian Ruble,01/2008,24.495717647058825
Saudi Arabian Riyal,11/2007,3.75
Saudi Arabian Riyal,02/2008,3.75
Saudi Arabian Riyal,02/2007,3.75
Saudi Arabian Riyal,01/2008,3.75
Singapore Dollar,11/2007,1.4470999999999998
Singapore Dollar,02/2008,1.4107578947368422
Singapore Dollar,02/2007,1.533961111111111
Singapore Dollar,01/2008,1.4315
South African Rand,11/2007,6.6947222222222225
South African Rand,02/2008,7.663250000000001
South African Rand,02/2007,7.174722222222221
South African Rand,01/2008,7.0130952380952385
Sri Lanka Rupee,11/2007,110.50757142857148
