file-name,row-index,row-values
gdp-usd-2005.csv,620,"UA, 2002, 68394576332"
gdp-usd-2005.csv,621,"UY, 2002, 15264564115"
gdp-usd-2005.csv,623,"UZ, 2002, 11915077000"
gdp-usd-2005.csv,627,"VN, 2002, 46617010183"
gdp-usd-2005.csv,629,"PS, 2002, 3661155812"
gdp-usd-2005.csv,631,"YE, 2002, 14709113179"
gdp-usd-2005.csv,633,"CD, 2002, 10003257879"
gdp-usd-2005.csv,634,"ZM, 2002, 6787777019"
gdp-usd-2005.csv,635,"ZW, 2002, 7806941277"
gdp-usd-2005.csv,636,"AW, 2003, 2295165262"
gdp-usd-2005.csv,637,"AD, 2003, 2251830450"
gdp-usd-2005.csv,638,"AF, 2003, 5585352695"
gdp-usd-2005.csv,639,"AO, 2003, 21531454923"
gdp-usd-2005.csv,640,"AL, 2003, 7497451665"
gdp-usd-2005.csv,643,"AM, 2003, 3895883451"
gdp-usd-2005.csv,648,"AZ, 2003, 9509049820"
gdp-usd-2005.csv,649,"BI, 2003, 1056234049"
gdp-usd-2005.csv,651,"BJ, 2003, 4108448873"
gdp-usd-2005.csv,652,"BF, 2003, 4811762166"
gdp-usd-2005.csv,653,"BD, 2003, 53532750754"
gdp-usd-2005.csv,654,"BG, 2003, 25951391108"
gdp-usd-2005.csv,655,"BH, 2003, 13980750122"
gdp-usd-2005.csv,656,"BS, 2003, 7387938285"
gdp-usd-2005.csv,657,"BA, 2003, 9787513593"
gdp-usd-2005.csv,658,"BY, 2003, 24777395460"
gdp-usd-2005.csv,659,"BZ, 2003, 1037955273"
gdp-usd-2005.csv,660,"BM, 2003, 4679355073"
gdp-usd-2005.csv,661,"BO, 2003, 8778509155"
gdp-usd-2005.csv,663,"BB, 2003, 3689069488"
gdp-usd-2005.csv,664,"BN, 2003, 9446967804"
gdp-usd-2005.csv,666,"BW, 2003, 9248175263"
gdp-usd-2005.csv,667,"CF, 2003, 1262464742"
gdp-usd-2005.csv,672,"CI, 2003, 16575664554"
gdp-usd-2005.csv,673,"CM, 2003, 15636570313"
gdp-usd-2005.csv,674,"CG, 2003, 5459095852"
gdp-usd-2005.csv,678,"CR, 2003, 18084706852"
gdp-usd-2005.csv,679,"CU, 2003, 36256208104"
gdp-usd-2005.csv,682,"CY, 2003, 15695130499"
gdp-usd-2005.csv,688,"DO, 2003, 30687336281"
gdp-usd-2005.csv,689,"DZ, 2003, 93431591961"
gdp-usd-2005.csv,690,"EC, 2003, 36429920044"
gdp-usd-2005.csv,691,"EG, 2003, 82472056526"
gdp-usd-2005.csv,692,"ER, 2003, 1055533675"
gdp-usd-2005.csv,694,"EE, 2003, 12013445754"
gdp-usd-2005.csv,695,"ET, 2003, 9764939037"
gdp-usd-2005.csv,697,"FJ, 2003, 2835540568"
gdp-usd-2005.csv,701,"GA, 2003, 8299855530"
gdp-usd-2005.csv,703,"GE, 2003, 5525933974"
gdp-usd-2005.csv,704,"GH, 2003, 9596570111"
gdp-usd-2005.csv,705,"GN, 2003, 2786396779"
gdp-usd-2005.csv,708,"GQ, 2003, 5100416284"
gdp-usd-2005.csv,711,"GL, 2003, 1626117503"
gdp-usd-2005.csv,712,"GT, 2003, 25546876111"
gdp-usd-2005.csv,716,"HN, 2003, 8585103675"
gdp-usd-2005.csv,717,"HR, 2003, 41890574103"
