value,type,filename,urban,ynm,attended,level,numerical,inadequate,urban.inadequate,rural.inadequate
NAN,attended,Argentina_MICS4_Datasets,,,NAN,,NAN,NAN,NAN,NAN
NAN,school,Argentina_MICS4_Datasets,,,,NAN,NAN,NAN,NAN,NAN
urban,urban.rural,Argentina_MICS4_Datasets,1,,,,NAN,NAN,NAN,NAN
NAN,ynm,Argentina_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Argentina_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Argentina_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Argentina_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
NAN,ynm,Argentina_MICS4_Datasets,,NAN,,,NAN,NAN,NAN,NAN
otras,water,Argentina_MICS4_Datasets,,,,,NAN,NAN,NAN,NAN
1,ynm,Bangladesh MICS 2006 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Bangladesh MICS 2006 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Bangladesh MICS 2006 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
1,ynm,Bangladesh MICS 2006 SPSS Datasets,,1,,,NAN,NAN,NAN,NAN
carton/tin sheet,wall,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
cane/palm/trunks/leaf/jute stick/sod,wall,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
NAN,wall,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
bricks,wall,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
other,wall,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
dirt/mud,wall,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
bambo with mud,wall,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
cement,wall,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
stone with mud,wall,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
missing,wall,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
earth/sand,floor,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
cement,floor,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
NAN,floor,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
palm/bamboo,floor,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
wood planks,floor,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
missing,floor,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
carpet,floor,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
polished wood,floor,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
other,floor,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
ceramic tiles/mojaic,floor,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
