Region,District,Sector/MDA/MMDA,Central GOG and CF: Comp of Emp,Central GOG and CF: Goods/Service,Central GOG and CF: Assets (Capital),Central GOG and CF: Total,IGF: Comp of Emp,IGF: Goods/Service,IGF: Assets (Capital),IGF: Total,Funds/Others: Comp of Emp,Funds/Others: Goods/Service,Funds/Others: Assets (Capital),Funds/Others: Total,Donor: Comp of Emp,Donor: Goods/Service,Donor: Assets (Capital),Donor: Total,Grand Total Less NREG / Statutory
Ashanti Region,Ahafo-Ano-North,Town and Country Planning,"36,597",0,0,"36,597",0,0,0,0,0,0,0,0,0,0,0,0,"36,597"
Ashanti Region,Ahafo-Ano-North,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Social Welfare & Community Development,"203,139","84,372",0,"287,510",0,0,0,0,0,0,0,0,0,0,0,0,"287,510"
Ashanti Region,Ahafo-Ano-North,Office of Departmental Head,0,"15,000",0,"15,000",0,0,0,0,0,0,0,0,0,0,0,0,"15,000"
Ashanti Region,Ahafo-Ano-North,Social Welfare,"39,579","62,745",0,"102,324",0,0,0,0,0,0,0,0,0,0,0,0,"102,324"
Ashanti Region,Ahafo-Ano-North,Community Development,"163,560","6,627",0,"170,186",0,0,0,0,0,0,0,0,0,0,0,0,"170,186"
Ashanti Region,Ahafo-Ano-North,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Works,"42,176","17,432","386,413","446,021",0,0,0,0,0,0,0,0,0,0,"122,944","122,944","568,965"
Ashanti Region,Ahafo-Ano-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Public Works,"42,176",0,"138,458","180,634",0,0,0,0,0,0,0,0,0,0,"82,944","82,944","263,578"
Ashanti Region,Ahafo-Ano-North,Water,0,"15,000","157,955","172,955",0,0,0,0,0,0,0,0,0,0,"40,000","40,000","212,955"
Ashanti Region,Ahafo-Ano-North,Feeder Roads,0,"2,432","90,000","92,432",0,0,0,0,0,0,0,0,0,0,0,0,"92,432"
Ashanti Region,Ahafo-Ano-North,Rural Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,"Trade, Industry and Tourism",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Cottage Industry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Tourism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Budget and Rating,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Legal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Disaster Prevention,0,"20,000",0,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,"20,000"
Ashanti Region,Ahafo-Ano-North,,0,"20,000",0,"20,000",0,0,0,0,0,0,0,0,0,0,0,0,"20,000"
Ashanti Region,Ahafo-Ano-North,Urban Roads,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,Birth and Death,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-North,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,Multi Sectoral,"1,847,910","1,307,993","1,465,876","4,621,778","22,101","247,899","30,000","300,000",0,0,0,"212,000",0,"434,573","1,144,477","1,579,050","6,712,828"
Ashanti Region,Ahafo-Ano-South,Ahafo Ano South District - Mankranso,"1,847,910","1,307,993","1,465,876","4,621,778","22,101","247,899","30,000","300,000",0,0,0,"212,000",0,"434,573","1,144,477","1,579,050","6,712,828"
Ashanti Region,Ahafo-Ano-South,Central Administration,"758,960","798,146","136,610","1,693,716","22,101","237,899",0,"260,000",0,0,0,0,0,"42,720",0,"42,720","1,996,436"
Ashanti Region,Ahafo-Ano-South,Administration (Assembly Office),"758,960","798,146","136,610","1,693,716","22,101","237,899",0,"260,000",0,0,0,0,0,"42,720",0,"42,720","1,996,436"
Ashanti Region,Ahafo-Ano-South,Sub-Metros Administration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,"Education, Youth and Sports",0,"54,147","689,266","743,413",0,0,"30,000","30,000",0,0,0,0,0,"391,853","912,251","1,304,104","2,077,517"
Ashanti Region,Ahafo-Ano-South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,Education,0,"54,147","689,266","743,413",0,0,"30,000","30,000",0,0,0,0,0,"391,853","912,251","1,304,104","2,077,517"
Ashanti Region,Ahafo-Ano-South,Sports,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,Youth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,Health,"139,190","247,073","440,000","826,264",0,"10,000",0,"10,000",0,0,0,"212,000",0,0,"232,226","232,226","1,280,490"
Ashanti Region,Ahafo-Ano-South,Office of District Medical Officer of Health,0,"47,073","440,000","487,073",0,0,0,0,0,0,0,0,0,0,"113,787","113,787","600,860"
Ashanti Region,Ahafo-Ano-South,Environmental Health Unit,"139,190","200,000",0,"339,190",0,"10,000",0,"10,000",0,0,0,"212,000",0,0,"118,440","118,440","679,630"
Ashanti Region,Ahafo-Ano-South,Hospital services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,Waste Management,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,Agriculture,"542,807","55,727",0,"598,535",0,0,0,0,0,0,0,0,0,0,0,0,"598,535"
Ashanti Region,Ahafo-Ano-South,,"542,807","55,727",0,"598,535",0,0,0,0,0,0,0,0,0,0,0,0,"598,535"
Ashanti Region,Ahafo-Ano-South,Physical Planning,"49,194","2,904","100,000","152,098",0,0,0,0,0,0,0,0,0,0,0,0,"152,098"
Ashanti Region,Ahafo-Ano-South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,Town and Country Planning,"49,194","2,904","100,000","152,098",0,0,0,0,0,0,0,0,0,0,0,0,"152,098"
Ashanti Region,Ahafo-Ano-South,Parks and Gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,Social Welfare & Community Development,"197,010","77,705",0,"274,715",0,0,0,0,0,0,0,0,0,0,0,0,"274,715"
Ashanti Region,Ahafo-Ano-South,Office of Departmental Head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,Social Welfare,"53,282","71,078",0,"124,360",0,0,0,0,0,0,0,0,0,0,0,0,"124,360"
Ashanti Region,Ahafo-Ano-South,Community Development,"143,728","6,627",0,"150,355",0,0,0,0,0,0,0,0,0,0,0,0,"150,355"
Ashanti Region,Ahafo-Ano-South,Natural Resource Conservation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashanti Region,Ahafo-Ano-South,Works,"143,000","7,290","100,000","250,290",0,0,0,0,0,0,0,0,0,0,0,0,"250,290"
