Function,Budget Type,Service,District,Government,Value,Year,Vote,Service Output
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,"16,512",2014/15 Approved Budget,Vote: 595,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Sports Development services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,"398,558",2014/15 Approved Budget,Vote: 595,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Ntoroko District,District Government,"1,380",2014/15 Approved Budget,Vote: 595,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Ntoroko District,District Government,"130,656",2014/15 Approved Budget,Vote: 595,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Ntoroko District,District Government,"165,383",2014/15 Approved Budget,Vote: 595,Output: Secondary Capitation(USE)(LLS)
Function: Special Needs Education,Non Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,"3,200",2014/15 Approved Budget,Vote: 595,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,"62,989",2014/15 Approved Budget,Vote: 595,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Sports Development services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,"1,825,725",2014/15 Approved Budget,Vote: 595,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,"216,320",2014/15 Approved Budget,Vote: 595,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Secondary Capitation(USE)(LLS)
Function: Special Needs Education,Wage Rec't:,1. Higher LG Services,Ntoroko District,District Government,0,2014/15 Approved Budget,Vote: 595,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Sports Development services
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Ntoroko District,District Government,"93,571",2015/16 Proposed Budget,Vote: 595,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Ntoroko District,District Government,"235,137",2015/16 Proposed Budget,Vote: 595,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Ntoroko District,District Government,"48,750",2015/16 Proposed Budget,Vote: 595,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Ntoroko District,District Government,"10,000",2015/16 Proposed Budget,Vote: 595,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Ntoroko District,District Government,"240,000",2015/16 Proposed Budget,Vote: 595,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Secondary Capitation(USE)(LLS)
Function: Special Needs Education,Domestic Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Special Needs Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ntoroko District,District Government,"60,500",2015/16 Proposed Budget,Vote: 595,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Ntoroko District,District Government,"60,500",2015/16 Proposed Budget,Vote: 595,Output: Sports Development services
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Teacher house construction and rehabilitation
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Ntoroko District,District Government,0,2015/16 Proposed Budget,Vote: 595,Output: Secondary Teaching Services
