Revenue/Expenditure,Budget Type,District,Government,Value,Workplan,Year,Vote,Revenue Source
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"9,682",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"144,799",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 759,Locally Raised Revenues
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"129,799",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 759,Locally Raised Revenues
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"5,212",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 759,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"5,212",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 759,Conditional transfers to Contracts Committee/DSC/PA
Revenue,Development Revenues,Masaka Municipal Council,District Government,"20,000",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 759,Locally Raised Revenues
Revenue,Development Revenues,Masaka Municipal Council,District Government,"20,000",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 759,Locally Raised Revenues
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"47,122",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"37,440",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"314,286",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 759,Non Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"358,181",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 759,Non Wage
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"20,000",Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"20,000",Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 3: Statutory Bodies,2013/14 Approved Budget,Vote: 759,Donor Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 3: Statutory Bodies,2014/15 Proposed Budget,Vote: 759,Donor Development
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"8,583",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"8,583",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"24,615",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 759,Locally Raised Revenues
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"28,615",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 759,Locally Raised Revenues
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"9,621",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"10,955",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"7,890",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"7,890",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"10,913",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 759,Conditional Grant to Agric. Ext Salaries
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"10,913",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 759,Conditional Grant to Agric. Ext Salaries
Revenue,Development Revenues,Masaka Municipal Council,District Government,"11,000",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 759,Locally Raised Revenues
Revenue,Development Revenues,Masaka Municipal Council,District Government,,Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 759,Locally Raised Revenues
Revenue,Development Revenues,Masaka Municipal Council,District Government,"170,861",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Masaka Municipal Council,District Government,"184,676",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"20,114",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"21,868",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"41,508",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 759,Non Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"45,088",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 759,Non Wage
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"181,861",Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"184,676",Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 4: Production and Marketing,2013/14 Approved Budget,Vote: 759,Donor Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 4: Production and Marketing,2014/15 Proposed Budget,Vote: 759,Donor Development
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"10,729",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"10,729",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"50,115",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Conditional Grant to PHC- Non wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"50,115",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Conditional Grant to PHC- Non wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"260,806",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Conditional Grant to PHC Salaries
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"266,267",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Conditional Grant to PHC Salaries
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"83,379",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"83,379",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"13,554",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Locally Raised Revenues
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"15,554",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Locally Raised Revenues
Revenue,Development Revenues,Masaka Municipal Council,District Government,"33,641",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Conditional Grant to PHC - development
Revenue,Development Revenues,Masaka Municipal Council,District Government,"33,638",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Conditional Grant to PHC - development
Revenue,Development Revenues,Masaka Municipal Council,District Government,"58,482",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,LGMSD (Former LGDP)
Revenue,Development Revenues,Masaka Municipal Council,District Government,"68,503",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,LGMSD (Former LGDP)
Revenue,Development Revenues,Masaka Municipal Council,District Government,"16,385",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Locally Raised Revenues
Revenue,Development Revenues,Masaka Municipal Council,District Government,,Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Locally Raised Revenues
Revenue,Development Revenues,Masaka Municipal Council,District Government,"80,041",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Masaka Municipal Council,District Government,"80,041",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Masaka Municipal Council,District Government,,Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Other Transfers from Central Government
Revenue,Development Revenues,Masaka Municipal Council,District Government,"27,537",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Other Transfers from Central Government
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"260,806",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"266,267",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"157,777",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Non Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"159,776",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Non Wage
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"188,549",Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"209,718",Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 5: Health,2013/14 Approved Budget,Vote: 759,Donor Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 5: Health,2014/15 Proposed Budget,Vote: 759,Donor Development
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"12,034",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Conditional transfers to School Inspection Grant
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"13,710",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Conditional transfers to School Inspection Grant
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"15,020",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"15,020",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"519,704",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Conditional Grant to Secondary Education
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"694,259",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Conditional Grant to Secondary Education
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"43,231",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Locally Raised Revenues
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"45,231",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Locally Raised Revenues
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"13,882",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"13,882",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"8,500",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Other Transfers from Central Government
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"9,000",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Other Transfers from Central Government
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"31,201",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"18,367",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"191,194",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Conditional Grant to Tertiary Salaries
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"376,966",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Conditional Grant to Tertiary Salaries
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"1,612,571",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Conditional Grant to Secondary Salaries
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"1,628,769",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Conditional Grant to Secondary Salaries
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"57,893",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Conditional Grant to Primary Education
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"72,420",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Conditional Grant to Primary Education
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"930,097",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Conditional Grant to Primary Salaries
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"1,130,326",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Conditional Grant to Primary Salaries
Revenue,Development Revenues,Masaka Municipal Council,District Government,"12,000",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Donor Funding
Revenue,Development Revenues,Masaka Municipal Council,District Government,,Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Donor Funding
Revenue,Development Revenues,Masaka Municipal Council,District Government,"12,000",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,LGMSD (Former LGDP)
Revenue,Development Revenues,Masaka Municipal Council,District Government,,Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,LGMSD (Former LGDP)
Revenue,Development Revenues,Masaka Municipal Council,District Government,,Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Other Transfers from Central Government
Revenue,Development Revenues,Masaka Municipal Council,District Government,"20,280",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Other Transfers from Central Government
Revenue,Development Revenues,Masaka Municipal Council,District Government,"210,652",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Conditional Grant to SFG
Revenue,Development Revenues,Masaka Municipal Council,District Government,"210,652",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Conditional Grant to SFG
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"2,765,063",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"3,154,428",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"670,264",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Non Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"863,522",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Non Wage
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"222,652",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"230,932",Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"12,000",Workplan 6: Education,2013/14 Approved Budget,Vote: 759,Donor Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 6: Education,2014/15 Proposed Budget,Vote: 759,Donor Development
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"29,113",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Locally Raised Revenues
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"29,113",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Locally Raised Revenues
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"182,261",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"182,261",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"32,185",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"32,185",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"70,439",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"45,117",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"658,883",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Other Transfers from Central Government
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"1,079,974",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Other Transfers from Central Government
Revenue,Development Revenues,Masaka Municipal Council,District Government,,Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Uganda Support to Municipal Infrastructure Developm
Revenue,Development Revenues,Masaka Municipal Council,District Government,"3,815,116",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Uganda Support to Municipal Infrastructure Developm
Revenue,Development Revenues,Masaka Municipal Council,District Government,"46,769",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Masaka Municipal Council,District Government,"65,438",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Masaka Municipal Council,District Government,"3,833,800",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Other Transfers from Central Government
Revenue,Development Revenues,Masaka Municipal Council,District Government,"3,045,630",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Other Transfers from Central Government
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"70,439",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"43,380",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"902,442",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Non Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"1,325,270",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Non Wage
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"3,880,569",Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"6,926,184",Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 7a: Roads and Engineering,2013/14 Approved Budget,Vote: 759,Donor Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 7a: Roads and Engineering,2014/15 Proposed Budget,Vote: 759,Donor Development
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,,Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,,Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,,Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,0,Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,,Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Non Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,0,Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Non Wage
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,,Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,,Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Donor Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Donor Development
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"6,437",Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"6,437",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"34,212",Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Locally Raised Revenues
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"56,712",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Locally Raised Revenues
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"9,276",Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"11,260",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"63,895",Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"63,895",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Development Revenues,Masaka Municipal Council,District Government,"74,500",Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Locally Raised Revenues
Revenue,Development Revenues,Masaka Municipal Council,District Government,"17,500",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Locally Raised Revenues
Revenue,Development Revenues,Masaka Municipal Council,District Government,,Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,LGMSD (Former LGDP)
Revenue,Development Revenues,Masaka Municipal Council,District Government,"10,000",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,LGMSD (Former LGDP)
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"9,276",Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"11,260",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"104,544",Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Non Wage
Expenditure,Recurrent Expenditure,Masaka Municipal Council,District Government,"127,044",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Non Wage
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"74,500",Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,"27,500",Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Domestic Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 8: Natural Resources,2013/14 Approved Budget,Vote: 759,Donor Development
Expenditure,Development Expenditure,Masaka Municipal Council,District Government,0,Workplan 8: Natural Resources,2014/15 Proposed Budget,Vote: 759,Donor Development
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,,Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 759,Other Transfers from Central Government
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"35,000",Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 759,Other Transfers from Central Government
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"12,796",Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"12,796",Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 759,Urban Unconditional Grant - Non Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"3,256",Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 759,Conditional Grant to Women Youth and Disability Gra
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"3,256",Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 759,Conditional Grant to Women Youth and Disability Gra
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"6,797",Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 759,Conditional transfers to Special Grant for PWDs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"6,797",Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 759,Conditional transfers to Special Grant for PWDs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"3,569",Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 759,Conditional Grant to Functional Adult Lit
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"3,569",Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 759,Conditional Grant to Functional Adult Lit
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"37,968",Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"37,968",Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 759,Multi-Sectoral Transfers to LLGs
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,904,Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 759,Conditional Grant to Community Devt Assistants Non 
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,904,Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 759,Conditional Grant to Community Devt Assistants Non 
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"26,044",Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"27,931",Workplan 9: Community Based Services,2014/15 Proposed Budget,Vote: 759,Transfer of Urban Unconditional Grant - Wage
Revenue,Recurrent Revenues,Masaka Municipal Council,District Government,"20,416",Workplan 9: Community Based Services,2013/14 Approved Budget,Vote: 759,Locally Raised Revenues
